ENTRY,L_EXIT,S_EXIT,KAPPA,PCA,DELTA_A,DELTA_B,Sharpe,Return,MaxDD,Calmar,WinRate,PF,AvgPos,Turnover
1.25,0.3,0.4,20,9,0.98,0.95,-0.5117495290623798,-0.08941142080294914,-1.018681475248755,-0.08777171566913543,0.4755360087960418,0.9127073745365074,18.465640461792194,1.0715260601948564
1.25,0.3,0.4,20,3,0.98,0.95,-0.5299391667465267,-0.08636451616263603,-1.172500788289569,-0.07365838643795167,0.4881803188565146,0.9129550188415337,18.0,0.9538537977576467
1.25,0.3,0.4,5,3,0.98,0.95,-0.5401897053835969,-0.07359239745853084,-0.7833350857794658,-0.0939475312602677,0.48708081363386474,0.9116146704306142,23.73446948873007,0.8438945378258736
1.25,0.3,0.4,15,7,0.98,0.95,-0.5784076481469053,-0.0833520454537158,-0.8438008456306328,-0.09878165669699092,0.48653106102253985,0.9061642830948068,21.30511269928532,0.9279829347194056
1.25,0.3,0.4,20,5,0.98,0.95,-0.5947681964509473,-0.09116984599381348,-0.9180683950197952,-0.09930615898377342,0.479934029686641,0.9045261088534009,18.298515667949424,0.9848868013844971
1.25,0.3,0.4,15,9,0.98,0.95,-0.6016822775128718,-0.09369317372112958,-0.8688484046656245,-0.10783604276420039,0.4920285871357889,0.9002763488274387,21.05607476635514,0.9894292971040032
1.25,0.3,0.4,10,3,0.98,0.95,-0.6034595057420712,-0.0831994532013628,-0.8993130982486857,-0.0925144461516069,0.48213304013194064,0.9012428871568695,23.94832325453546,0.8054295763118627
1.25,0.3,0.4,5,5,0.98,0.95,-0.6378219741734137,-0.09088228672419998,-0.9446150154241326,-0.09621092745746138,0.4788345244639912,0.8963004001457373,22.220450797141286,0.927040837675742
1.25,0.3,0.4,10,7,0.98,0.95,-0.6532799786481266,-0.08681250671363311,-0.763709442905374,-0.11367216618845637,0.4804837822979659,0.8956191363880475,23.83287520615723,0.874447126209409
1.25,0.3,0.4,15,3,0.98,0.95,-0.6668668862938294,-0.09549018291842121,-1.1898819496887414,-0.0802518123276013,0.48488180318856516,0.8928348465315363,21.374931280923583,0.8666231525782219
1.25,0.3,0.4,20,7,0.98,0.95,-0.6892060303798438,-0.11200084174865589,-1.0376030488574801,-0.10794189731032658,0.4876305662451897,0.887613221984852,18.335898845519516,1.023356367353079
1.25,0.3,0.4,5,9,0.98,0.95,-0.6940979230231584,-0.10337925176367804,-0.9072526810473979,-0.11394758475040226,0.479934029686641,0.886805869447598,22.507421660252888,0.9636856563734107
1.25,0.3,0.4,10,5,0.98,0.95,-0.7649974227763673,-0.10295027290421548,-1.0140700136324243,-0.10152185896459456,0.48158328752061574,0.8777845505150467,23.128642111050027,0.8789340819746921
1.25,0.3,0.4,10,9,0.98,0.95,-0.7934893849484316,-0.11723881147482208,-1.047725968937216,-0.11189835410278688,0.48268279274326553,0.8701363890386452,23.17372182517867,0.9301038559158323
1.25,0.3,0.4,5,7,0.98,0.95,-0.8277833023813563,-0.11455236227569836,-1.0054107098788105,-0.11393588823964904,0.4760857614073667,0.8675259814918694,23.45739417262232,0.8983301613253895
1.25,0.3,0.4,15,5,0.98,0.95,-0.8597370389724805,-0.12444239749695438,-1.2264770633599902,-0.10146328962405438,0.4760857614073667,0.8636224312808357,21.078614623419462,0.9301914183796179
